epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.882,1.00842,9.67504,0.69242,0.84294,1.36671,0.93865,0.92688,0.9739,0.77787,0.16095,0.09004,0.02699,0.00363,0.86048,7.60322,0.55771,0.48632,1.211,0.00333042,0.00333042,0.00333042
2,380.413,0.88178,7.28996,0.6391,0.62306,1.25095,0.93862,0.92434,0.97312,0.78415,0.77386,0.4672,0.4624,0.16649,0.84009,5.22847,0.38377,0.50119,1.21484,0.00653181,0.00653181,0.00653181
3,560.758,0.93521,6.47401,0.58755,0.69668,1.28772,0.92891,0.91803,0.96155,0.73476,0.70296,0.51193,0.44907,0.2091,0.94639,4.75721,0.32136,0.57533,1.31617,0.0096012,0.0096012,0.0096012
4,739.355,0.95579,6.07396,0.52421,0.71099,1.29053,0.91696,0.90817,0.95616,0.75046,0.64598,0.44224,0.35604,0.18847,0.91715,5.04902,0.24351,0.5702,1.26881,0.009406,0.009406,0.009406
5,918.478,0.921,5.61151,0.4676,0.66218,1.26267,0.93551,0.92893,0.97204,0.77937,0.75667,0.58785,0.56044,0.3238,0.87159,3.96603,0.19949,0.50943,1.22393,0.009208,0.009208,0.009208
6,1096.4,0.88224,5.26144,0.43488,0.62056,1.23331,0.95313,0.94017,0.97858,0.80633,0.80044,0.6364,0.64399,0.40008,0.78059,3.53568,0.15527,0.45929,1.16389,0.00901,0.00901,0.00901
7,1274.28,0.85426,4.99189,0.41044,0.59265,1.21628,0.95632,0.9505,0.98473,0.82237,0.79314,0.64882,0.65288,0.43217,0.73666,3.38379,0.11164,0.42992,1.12495,0.008812,0.008812,0.008812
8,1451.94,0.82913,4.74742,0.3951,0.56593,1.19857,0.95714,0.95812,0.98454,0.83257,0.80089,0.68105,0.67474,0.45379,0.72223,3.18448,0.10944,0.4117,1.10767,0.008614,0.008614,0.008614
9,1630.26,0.81468,4.58966,0.38166,0.54926,1.18967,0.96133,0.95825,0.98654,0.83305,0.76888,0.66637,0.64407,0.43994,0.74112,3.30089,0.09573,0.39509,1.11589,0.008416,0.008416,0.008416
10,1808.22,0.80442,4.52399,0.3692,0.53991,1.18313,0.96088,0.96606,0.98812,0.85024,0.80901,0.69224,0.70486,0.48849,0.69209,3.0293,0.08937,0.37966,1.07113,0.008218,0.008218,0.008218
11,1987.8,0.79667,4.39752,0.36278,0.52974,1.17416,0.96,0.96798,0.98784,0.8487,0.81711,0.7227,0.73692,0.51436,0.68916,2.88765,0.08949,0.37237,1.07702,0.00802,0.00802,0.00802
12,2166.32,0.78044,4.308,0.35649,0.51605,1.16944,0.96354,0.96125,0.98731,0.84533,0.82432,0.73254,0.73174,0.51617,0.6798,2.84804,0.0883,0.36722,1.07773,0.007822,0.007822,0.007822
13,2345.07,0.77097,4.18974,0.34913,0.51354,1.16189,0.96619,0.95518,0.98777,0.853,0.83198,0.73156,0.7442,0.51786,0.66203,2.76539,0.07973,0.36432,1.06374,0.007624,0.007624,0.007624
14,2522.92,0.76014,4.06525,0.34241,0.50188,1.15771,0.96122,0.96824,0.98847,0.86221,0.83179,0.74244,0.76111,0.5508,0.65113,2.6505,0.07082,0.3516,1.04702,0.007426,0.007426,0.007426
15,2701.88,0.74917,3.99808,0.33662,0.49171,1.14534,0.96687,0.96862,0.98914,0.85911,0.81925,0.7418,0.72881,0.52127,0.65366,2.7377,0.08213,0.34151,1.05292,0.007228,0.007228,0.007228
16,2880.08,0.73963,3.9555,0.33163,0.48303,1.13943,0.96551,0.96794,0.98866,0.86714,0.83673,0.76072,0.76898,0.5676,0.62911,2.59651,0.07502,0.33901,1.03452,0.00703,0.00703,0.00703
17,3058.52,0.74048,3.903,0.326,0.48219,1.138,0.96723,0.97041,0.98986,0.87196,0.83811,0.76268,0.77568,0.57988,0.61904,2.53577,0.07465,0.33374,1.02399,0.006832,0.006832,0.006832
18,3236.81,0.73497,3.79532,0.32443,0.47367,1.13913,0.96923,0.97213,0.9899,0.87565,0.83259,0.76624,0.77668,0.58746,0.60934,2.49142,0.07465,0.32224,1.01728,0.006634,0.006634,0.006634
19,3415.66,0.72719,3.78951,0.31809,0.46892,1.13317,0.96645,0.96773,0.98923,0.87749,0.843,0.77369,0.79487,0.60094,0.60369,2.43796,0.07131,0.33107,1.02069,0.006436,0.006436,0.006436
20,3594.31,0.72378,3.72609,0.31971,0.46458,1.12972,0.96766,0.97341,0.98965,0.87814,0.8463,0.78317,0.79691,0.60798,0.60273,2.3836,0.06625,0.31746,1.01752,0.006238,0.006238,0.006238
21,3773.28,0.70891,3.60536,0.3113,0.4589,1.12224,0.97124,0.96885,0.99009,0.88327,0.83846,0.78868,0.80516,0.61799,0.59564,2.35113,0.06599,0.31334,1.01039,0.00604,0.00604,0.00604
22,3951.55,0.70903,3.49912,0.30747,0.45111,1.12255,0.96511,0.97618,0.99014,0.88514,0.85924,0.78727,0.81725,0.64645,0.5924,2.20739,0.06523,0.31162,1.01033,0.005842,0.005842,0.005842
23,4130.05,0.70164,3.42213,0.30645,0.4471,1.11526,0.97239,0.97413,0.99072,0.8908,0.85599,0.79995,0.8224,0.65502,0.57874,2.17116,0.06348,0.30263,0.99798,0.005644,0.005644,0.005644
24,4308.4,0.69524,3.35898,0.30414,0.44152,1.11331,0.96368,0.97374,0.98987,0.88587,0.86619,0.79867,0.82528,0.65657,0.58066,2.11722,0.06452,0.3037,0.99995,0.005446,0.005446,0.005446
25,4486.74,0.69394,3.34412,0.30241,0.44175,1.11355,0.96571,0.97579,0.99006,0.88789,0.84517,0.79752,0.80894,0.64958,0.57567,2.17189,0.06149,0.29828,0.99623,0.005248,0.005248,0.005248
26,4666.21,0.68751,3.3039,0.29693,0.43718,1.10884,0.96715,0.97695,0.99045,0.89115,0.86377,0.80554,0.82692,0.67076,0.56875,2.08215,0.05825,0.28921,0.99372,0.00505,0.00505,0.00505
27,4845.12,0.68179,3.26598,0.2956,0.43262,1.10525,0.9693,0.97695,0.99074,0.89149,0.85635,0.80802,0.82295,0.67185,0.56618,2.08576,0.05708,0.28916,0.99133,0.004852,0.004852,0.004852
28,5023.99,0.67614,3.1751,0.28933,0.4264,1.10294,0.96833,0.97904,0.99093,0.8935,0.8527,0.81259,0.82605,0.66898,0.56081,2.04395,0.05734,0.28559,0.98575,0.004654,0.004654,0.004654
29,5202.86,0.6737,3.17546,0.28839,0.4268,1.09989,0.97057,0.97631,0.99091,0.89373,0.86657,0.80767,0.83011,0.67672,0.56136,2.01287,0.05685,0.2859,0.98865,0.004456,0.004456,0.004456
30,5381.41,0.67272,3.15372,0.28664,0.42256,1.09995,0.97166,0.97472,0.99099,0.89447,0.85411,0.81609,0.82603,0.67777,0.55558,2.014,0.05547,0.28228,0.98343,0.004258,0.004258,0.004258
31,5560.25,0.66274,3.07693,0.28359,0.41375,1.09716,0.97342,0.97573,0.991,0.89677,0.86929,0.81416,0.8384,0.68705,0.55395,1.98498,0.05426,0.27902,0.98226,0.00406,0.00406,0.00406
32,5738.93,0.66174,3.05806,0.28109,0.41622,1.0937,0.97037,0.97728,0.99099,0.89832,0.85892,0.82057,0.83542,0.68808,0.54684,1.98111,0.05366,0.2807,0.97909,0.003862,0.003862,0.003862
